product_id,fraud_label,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review1_rating,review2_rating,price_deviation,price_ratio,abnormal_discount,review_rating_diff,seller_item_rating_gap,listed_price_scaled,original_price_scaled,price_deviation_scaled,price_ratio_scaled,seller_rating_scaled,rating_count_scaled,item_rating_scaled,item_rating_count_scaled,review1_rating_scaled,review2_rating_scaled,review_rating_diff_scaled,seller_item_rating_gap_scaled
001613,0,224.48,224.48,4.0,365.0,4.4270036991368675,1114.0,4.8822784810126585,4.8291859974694225,0.0,1.0,0,0.053092483543236035,0.42700369913686753,0.08887640449438201,0.08822147529726408,0.9496360814694962,0.05036391853050386,0.004661365505895256,5.451597792591596e-07,0.8567509247842169,0.0033165963913762532,0.9705696202531646,0.9572964993673556,0.013273120885809009,0.0005882403900494111
001614,0,377.67,377.67,4.5,45.0,4.4270036991368675,1114.0,4.8822784810126585,4.8291859974694225,0.0,1.0,0,0.053092483543236035,0.07299630086313247,0.15034911717495988,0.1497383754783733,0.9496360814694962,0.05036391853050386,0.005346860433232794,6.721147963469092e-08,0.8567509247842169,0.0033165963913762532,0.9705696202531646,0.9572964993673556,0.013273120885809009,0.00010055972015860652
001615,0,185.0,185.0,4.9,46.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,0.9000000000000004,0.07303370786516854,0.07236739070198898,0.9496360814694962,0.05036391853050386,0.005895256375102825,6.870506807101737e-08,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0012398401983744322
001616,0,108.99,108.99,5.0,46.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,1.0,0.04253210272873194,0.04184386055794491,0.9496360814694962,0.05036391853050386,0.006032355360570333,6.870506807101737e-08,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0013776002204160353
001617,0,117.93,117.93,4.0,4274.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,0.0,0.04611958266452649,0.04543391922769566,0.9496360814694962,0.05036391853050386,0.004661365505895256,6.38359697685931e-06,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0
001618,0,164.96,164.96,5.0,619.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,1.0,0.06499197431781702,0.06431987663691015,0.9496360814694962,0.05036391853050386,0.006032355360570333,9.245312420860817e-07,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0013776002204160353
001619,0,178.15,178.15,5.0,1850.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,1.0,0.07028491171749598,0.06961661867874597,0.9496360814694962,0.05036391853050386,0.006032355360570333,2.76313860720396e-06,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0013776002204160353
001620,0,178.15,178.15,4.0,131.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,0.0,0.07028491171749598,0.06961661867874597,0.9496360814694962,0.05036391853050386,0.004661365505895256,1.9566008515876689e-07,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0
001621,0,188.02,188.02,4.0,1761.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,0.0,0.07424558587479936,0.07358013982756476,0.9496360814694962,0.05036391853050386,0.004661365505895256,2.630209236370904e-06,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0
001622,0,239.95,239.95,4.5,394.0,4.0,52.0,5.0,5.0,0.0,1.0,0,0.0,0.5,0.09508426966292134,0.0944338027716538,0.9496360814694962,0.05036391853050386,0.005346860433232794,5.884738439126271e-07,0.75,0.00015197341955093345,1.0,1.0,0.0,0.0006888001102080177
